LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLA_RANGE,PLANET_RAD,C,A,EMPHEMERIS_TIME,UTC,ORBIT
174.30498,0.69649,-1455.49919,395998.17601,3385324.29977,1.11808,0.00949,10825723.99291,2000-05-05T19:28:28.404,15112.77162
174.31498,0.84312,-1460.57451,396056.89453,3385313.01834,1.10820,0.00974,10754538.30302,2000-05-04T23:42:07.864,15104.14714
174.32499,0.74665,-1459.76118,396018.27380,3385317.24717,1.11331,0.01181,10644125.62587,2000-05-03T17:01:47.519,15088.51013
174.33499,0.54816,-1448.46366,395914.00642,3385309.37968,1.11091,0.01053,10612017.03312,2000-05-03T08:06:40.621,15081.40924
174.34499,0.28673,-1442.76655,395865.03560,3385306.38977,1.11972,0.01110,10777507.08406,2000-05-05T06:04:52.196,15109.12451
174.35500,0.65671,-1463.63693,395981.64397,3385327.69829,1.11961,0.01078,10772590.33219,2000-05-05T04:42:59.351,15106.65037
174.36500,0.51490,-1451.87876,395948.87216,3385300.56778,1.12298,0.01086,10804000.09818,2000-05-05T13:26:18.994,15111.40503
174.37501,0.98238,-1476.33879,396089.97538,3385328.89919,1.12046,0.01106,10643742.27828,2000-05-03T16:55:30.019,15090.68677
174.38500,0.70222,-1458.06316,396000.07832,3385298.05242,1.11686,0.01067,10751430.32843,2000-05-04T22:50:08.328,15100.97436
174.39497,0.78870,-1462.64379,396042.61781,3385283.72861,1.11849,0.01184,10777455.71744,2000-05-05T06:03:56.207,15109.56207
174.40501,0.70858,-1464.38908,396015.61473,3385282.19632,1.12028,0.01127,10733758.49460,2000-05-04T17:55:35.757,15098.99297
174.41502,0.61607,-1461.46682,395993.77625,3385315.52245,1.11970,0.01048,10652967.71420,2000-05-03T19:29:08.047,15088.67696
174.42500,0.36270,-1447.96023,395858.13881,3385307.92174,1.12084,0.01070,10745842.31890,2000-05-04T21:17:01.242,15105.53489
174.43499,0.72322,-1462.44428,396006.75992,3385308.06146,1.11911,0.01157,10798932.50754,2000-05-05T12:01:55.236,15109.37754
174.44499,0.41495,-1446.67525,395867.79864,3385321.54932,1.11738,0.01131,10801321.33905,2000-05-05T12:41:41.456,15108.29127
174.45501,0.46648,-1448.90946,395882.30406,3385310.96643,1.11303,0.01110,10780177.11998,2000-05-05T06:49:14.708,15108.66665
174.46498,0.68525,-1451.99730,395981.23038,3385326.80483,1.11177,0.01133,10892458.66543,2000-05-06T14:00:38.847,15122.10373
174.47501,0.50773,-1442.12720,395896.71923,3385309.19325,1.12205,0.01105,10780658.27562,2000-05-05T06:57:21.276,15111.67646
174.48499,0.53653,-1438.61399,395909.60865,3385325.68227,1.12278,0.01256,10772363.71906,2000-05-05T04:39:04.599,15104.51808
174.49499,0.52077,-1440.21566,395932.55294,3385296.31102,1.12380,0.01291,10779880.60101,2000-05-05T06:44:23.392,15108.04424
174.50502,0.54034,-1438.66583,395922.99011,3385326.39777,1.12206,0.01316,10747154.21021,2000-05-04T21:39:03.382,15104.05610
174.51500,0.74230,-1443.57442,395958.87798,3385326.39573,1.12043,0.01480,10787677.24919,2000-05-05T08:54:15.560,15110.00972
174.52497,0.51825,-1438.95213,395911.46575,3385332.66036,1.11659,0.01522,10766944.74093,2000-05-05T03:08:47.412,15102.56266
174.53499,0.68138,-1440.67420,396024.83036,3385293.98194,1.11697,0.01577,10793072.97361,2000-05-05T10:24:10.266,15108.85210
174.54499,0.29003,-1424.02394,395787.61848,3385339.36022,1.11335,0.01645,10763200.49052,2000-05-05T02:06:30.101,15107.34145
174.55499,0.75773,-1447.85337,396012.53906,3385320.05926,1.11890,0.01554,10790500.37789,2000-05-05T09:41:14.221,15106.09598
174.56499,0.44251,-1427.24579,395840.32274,3385337.31507,1.11219,0.01497,10783770.37921,2000-05-05T07:49:07.151,15111.85320
174.57502,0.44169,-1424.90789,395846.97638,3385351.60263,1.12066,0.01297,10778094.50225,2000-05-05T06:14:34.297,15110.49647
174.58501,0.64927,-1438.79201,395929.93997,3385346.67689,1.11358,0.01297,10811856.78891,2000-05-05T15:37:16.161,15108.15956
174.59499,0.51571,-1431.48661,395880.82769,3385336.21662,1.10926,0.01529,10732412.37790,2000-05-04T17:33:07.140,15100.22859
174.60500,-0.15983,-1402.27055,395580.77206,3385382.36683,1.10876,0.01549,10692270.67468,2000-05-04T06:24:14.654,15095.66951
174.61498,0.82259,-1447.76964,395997.94698,3385350.67352,1.11129,0.01440,10746817.33109,2000-05-04T21:33:14.865,15104.15450
174.62500,0.46245,-1431.60469,395850.76232,3385343.37833,1.11132,0.01567,10797573.29992,2000-05-05T11:39:15.975,15109.38018
174.63499,0.12538,-1425.43312,395688.67021,3385373.31728,1.11252,0.01478,10785703.74695,2000-05-05T08:21:31.603,15111.13065
174.64498,0.44768,-1439.18596,395859.14166,3385352.60169,1.10968,0.01532,10758447.04681,2000-05-05T00:47:23.691,15102.02483
174.65499,0.51814,-1445.71301,395871.50278,3385352.94042,1.10854,0.01585,10739888.92829,2000-05-04T19:37:55.128,15100.47910
174.66500,0.41224,-1437.40769,395800.92429,3385369.18836,1.11595,0.01426,10707553.30173,2000-05-04T10:38:59.648,15100.73260
174.67500,0.66246,-1440.26579,395900.38067,3385352.28918,1.11133,0.01343,10893181.09687,2000-05-06T14:12:49.419,15123.88484
174.68501,0.46900,-1434.53974,395829.36534,3385367.97216,1.11334,0.01255,10648715.43021,2000-05-03T18:18:26.186,15086.27784
174.69500,0.49378,-1428.83820,395810.30230,3385389.08858,1.11034,0.01220,10751966.65403,2000-05-04T22:59:11.533,15106.33796
174.70500,0.25973,-1412.45154,395756.55181,3385348.65991,1.11509,0.01257,10794964.25982,2000-05-05T10:55:44.169,15107.99860
174.71500,0.48397,-1433.22156,395813.35043,3385383.54110,1.10688,0.01654,10806978.43386,2000-05-05T14:15:58.534,15113.66859
174.72501,0.32523,-1424.14865,395809.72157,3385324.54567,1.10613,0.01426,10841527.93072,2000-05-05T23:51:54.134,15118.69745
174.73499,0.36082,-1436.04048,395815.80165,3385358.98784,1.10873,0.01302,10731132.60758,2000-05-04T17:11:56.024,15100.52203
174.74499,0.60282,-1443.70458,395958.37004,3385281.20238,1.10993,0.01060,10763372.09852,2000-05-05T02:09:10.309,15103.68555
174.75501,0.37564,-1441.06964,395821.63112,3385348.17423,1.11194,0.01003,10682767.60080,2000-05-04T03:45:54.562,15095.06050
174.76502,0.45841,-1440.36455,395851.55807,3385344.45994,1.12093,0.01027,10716568.02946,2000-05-04T13:09:17.913,15100.47515
174.77497,0.48772,-1444.65365,395884.84236,3385314.58635,1.11079,0.01043,10661949.03496,2000-05-03T21:58:55.850,15091.40073
174.78500,0.87776,-1460.23856,396071.39405,3385275.87910,1.11186,0.01090,10736678.64551,2000-05-04T18:44:34.494,15102.96875
