LONG_EAST,LAT_NORTH,TOPOGRAPHY,MOLArange,planet_rad,c,A,Ephermis Time,UTC,Orbit
186.03500,0.84364,-2395.01399,389913.38408,3392507.33376,1.29079,0.01699,9873573.15576,1999-10-24T14:29:10.243,15007.25566
186.04500,0.84217,-2396.28102,389924.01934,3392502.01303,1.31269,0.01020,9962497.01070,1999-06-25T08:39:34.097,15022.99358
186.05499,0.87035,-2414.64837,389948.62889,3392477.58862,1.25431,0.00000,10172664.18300,1999-11-03T08:46:00.854,15043.67667
186.06500,0.90149,-2426.39584,389946.33537,3392466.23016,1.24416,0.00000,10191952.80295,1999-05-15T06:16:26.029,15052.44876
186.07498,0.93324,-2431.56719,389999.80421,3392455.32789,1.23486,0.00000,10052476.69455,1999-07-09T17:50:08.477,15030.20290
186.08499,1.02506,-2443.18348,390090.46185,3392442.72047,1.23777,0.00000,9947632.62527,2000-02-18T05:24:47.304,15021.03424
186.09499,0.93138,-2436.78731,389977.86007,3392452.06380,1.22828,0.00000,9835432.91751,1999-10-07T15:35:55.269,15002.02783
186.10498,1.01942,-2452.79261,390072.97071,3392440.53506,1.24533,0.00000,10129576.74842,2000-03-20T13:27:55.718,15043.11771
186.11500,1.06859,-2451.23844,390119.36400,3392441.68920,1.25142,0.00000,10072108.22589,1999-11-03T08:45:51.854,15032.24349
186.12499,1.15580,-2448.57306,390157.92206,3392443.50876,1.27262,0.00000,9878611.69305,1999-04-06T17:33:02.568,15004.48631
186.13499,0.98824,-2429.19970,389836.11176,3392464.55074,1.26095,0.00000,10072828.44697,1999-04-06T17:33:01.068,15038.60498
186.14500,0.81121,-2420.92842,389733.68136,3392468.22913,1.27738,0.00000,10033794.93915,1999-05-05T11:57:44.410,15030.08845
186.15499,0.86763,-2424.30500,389761.62081,3392473.24889,1.28982,0.00000,9971739.11851,2000-01-29T16:50:41.848,15024.20280
186.16500,1.09261,-2470.53464,389934.37836,3392429.44722,1.29878,0.00000,9926405.89782,1999-09-03T17:49:56.207,15011.14558
186.17501,1.15333,-2488.86603,389992.10986,3392410.32916,1.27927,0.00000,10223155.18615,1999-05-08T01:39:53.790,15056.59606
186.18501,1.18147,-2487.82391,390012.79530,3392406.89844,1.26651,0.00000,9938813.44648,1999-03-18T04:56:34.655,15016.23994
186.19501,1.12932,-2475.69473,389968.50354,3392421.65969,1.26440,0.00000,9991738.56479,1999-05-29T15:28:31.505,15020.34605
186.20500,1.19582,-2469.71866,389986.55204,3392424.92088,1.26722,0.00000,9876142.96331,2000-01-22T12:15:15.115,15007.24591
186.21500,1.18277,-2481.88839,389994.55193,3392415.06046,1.25019,0.00000,10017930.77669,1999-08-24T23:32:47.951,15024.64469
186.22501,1.19061,-2465.31470,389982.75014,3392433.73916,1.25950,0.01128,10167035.21637,2001-05-22T00:01:02.672,15048.97330
186.23500,1.19554,-2449.41965,389995.20888,3392452.21868,1.26965,0.01006,10132150.11913,1999-12-21T15:42:07.429,15044.44953
186.24500,1.25962,-2434.61854,390020.47400,3392462.80027,1.27658,0.00000,10169525.06383,1999-10-17T09:53:06.003,15046.72862
186.25503,1.16108,-2414.72081,389943.65719,3392479.73624,1.26625,0.00000,10026317.30213,1999-06-18T04:03:38.170,15027.01212
186.26502,1.17219,-2416.41847,389948.85021,3392479.02624,1.28650,0.00000,10071681.87854,1999-07-22T01:48:02.983,15036.31453
186.27502,1.06985,-2402.25790,389880.56823,3392496.56611,1.26595,0.00000,10358933.41763,1999-08-15T05:14:55.080,15073.66506
186.28502,1.09978,-2381.94083,389875.60668,3392514.74097,1.27116,0.00000,10157202.00089,2000-04-06T12:19:24.070,15045.46799
186.29502,1.06058,-2360.74483,389832.63692,3392536.18038,1.26308,0.00221,10349548.56533,2000-10-10T00:04:49.068,15072.64517
186.30500,1.01573,-2347.97819,389790.96742,3392547.27863,1.27429,0.00880,10169464.12694,1999-11-30T01:55:21.787,15047.36267
186.31499,1.07296,-2365.62529,389848.15836,3392531.23428,1.25850,0.01353,10433309.83156,2000-10-29T12:41:52.764,15090.94954
186.32499,1.05914,-2374.33347,389846.54460,3392521.61106,1.28015,0.01544,10207685.51199,1999-09-01T04:08:09.466,15058.77941
186.33499,1.04094,-2373.12982,389831.91234,3392522.62206,1.26827,0.01645,10207908.23990,1999-11-27T12:13:55.623,15052.96308
186.34502,0.83889,-2318.18581,389682.57536,3392570.75010,1.26864,0.01296,10516744.80518,1999-05-15T06:15:43.427,15097.38675
186.35501,0.69031,-2295.74897,389567.42853,3392595.16338,1.29486,0.01618,10470771.47544,1999-06-13T00:40:06.683,15090.94606
186.36498,0.73318,-2284.15751,389587.09650,3392605.01029,1.29982,0.01627,10560123.52326,2000-05-29T22:37:52.420,15103.33960
186.37502,0.74288,-2287.33514,389594.37930,3392599.71479,1.29742,0.01638,10529133.81863,1999-09-03T17:49:24.505,15098.65308
186.38501,0.58553,-2286.36282,389514.44690,3392607.77536,1.28608,0.01436,10514499.46737,2000-03-27T18:02:32.277,15102.19035
186.39501,0.78408,-2348.30934,389672.65507,3392553.76496,1.27922,0.01691,10565157.70468,1999-09-01T04:07:59.066,15102.29350
186.40501,0.75174,-2366.00144,389682.52324,3392534.39402,1.26390,0.01680,10587106.36503,1999-06-08T09:45:40.750,15105.71445
186.41499,0.65993,-2368.49071,389638.30807,3392533.59317,1.25720,0.01570,10809829.13000,1999-09-27T21:18:10.187,15137.19738
186.42500,0.66061,-2383.67314,389658.00738,3392521.03917,1.25608,0.01572,10881677.86146,2000-02-13T02:00:42.237,15150.41670
