row,col,LAT_NORTH,LONG_EAST,TOPOGRAPHY,point_count
18,63,0.72245,211.72516,-2050.46578,1
18,79,0.72245,214.42630,-1343.43012,7
18,83,0.72245,215.10159,-1316.91871,2
18,84,0.72245,215.27041,-1323.75371,3
18,85,0.72245,215.43923,-1277.35420,1
18,86,0.72245,215.60805,-1275.45538,3
18,103,0.72245,218.47802,-734.76059,2
18,104,0.72245,218.64684,-717.88771,7
18,108,0.72245,219.32212,-627.80734,4
18,109,0.72245,219.49095,-588.23704,11
18,110,0.72245,219.65977,-545.91401,4
18,111,0.72245,219.82859,-496.11778,8
18,112,0.72245,219.99741,-485.95828,3
18,113,0.72245,220.16623,-464.53753,5
19,7,0.89127,202.27116,-1638.55082,1
19,10,0.89127,202.77762,-1781.19942,4
19,11,0.89127,202.94645,-1811.93406,5
19,12,0.89127,203.11527,-1776.76853,5
19,13,0.89127,203.28409,-1805.08272,3
19,14,0.89127,203.45291,-1812.13279,10
19,32,0.89127,206.49170,-2319.53152,6
19,34,0.89127,206.82934,-2316.04362,6
19,35,0.89127,206.99816,-2280.15683,11
19,36,0.89127,207.16698,-2272.06023,9
19,38,0.89127,207.50462,-2389.68425,8
19,39,0.89127,207.67345,-2366.24630,8
19,40,0.89127,207.84227,-2343.60779,2
19,56,0.89127,210.54341,-2303.11689,6
19,57,0.89127,210.71223,-2303.70797,4
19,61,0.89127,211.38752,-2087.12230,4
19,62,0.89127,211.55634,-2073.65584,4
19,80,0.89127,214.59512,-1356.28983,7
19,82,0.89127,214.93277,-1330.56932,1
19,83,0.89127,215.10159,-1341.60915,4
19,84,0.89127,215.27041,-1320.59608,7
19,85,0.89127,215.43923,-1294.26336,3
19,104,0.89127,218.64684,-725.85539,3
19,106,0.89127,218.98448,-662.58849,7
19,107,0.89127,219.15330,-663.99954,13
19,108,0.89127,219.32212,-669.15746,12
19,110,0.89127,219.65977,-564.59714,7
19,111,0.89127,219.82859,-511.89781,5
19,113,0.89127,220.16623,-481.82720,1
20,7,1.06009,202.27116,-1647.28502,6
20,8,1.06009,202.43998,-1697.91049,8
20,9,1.06009,202.60880,-1720.57034,7
20,10,1.06009,202.77762,-1779.76813,5
20,12,1.06009,203.11527,-1793.15034,6
20,13,1.06009,203.28409,-1827.39026,7
20,14,1.06009,203.45291,-1811.66124,2
20,32,1.06009,206.49170,-2359.32478,3
20,33,1.06009,206.66052,-2353.00042,8
20,34,1.06009,206.82934,-2333.13727,5
20,39,1.06009,207.67345,-2387.68590,9
20,57,1.06009,210.71223,-2311.18636,9
20,60,1.06009,211.21870,-2122.79971,3
20,61,1.06009,211.38752,-2111.35737,6
20,62,1.06009,211.55634,-2111.51671,5
20,80,1.06009,214.59512,-1379.40109,9
20,81,1.06009,214.76395,-1411.26851,5
20,82,1.06009,214.93277,-1357.66864,9
20,83,1.06009,215.10159,-1341.25707,10
20,84,1.06009,215.27041,-1352.27903,6
20,85,1.06009,215.43923,-1323.00613,11
20,104,1.06009,218.64684,-731.89011,4
20,105,1.06009,218.81566,-733.32800,2
20,106,1.06009,218.98448,-695.47383,6
20,107,1.06009,219.15330,-675.56687,4
20,108,1.06009,219.32212,-689.40332,1
20,110,1.06009,219.65977,-582.33290,4
20,111,1.06009,219.82859,-535.10929,4
21,8,1.22891,202.43998,-1708.74169,8
21,9,1.22891,202.60880,-1756.50422,7
21,10,1.22891,202.77762,-1793.67304,4
21,12,1.22891,203.11527,-1832.56562,2
21,13,1.22891,203.28409,-1819.18646,7
21,32,1.22891,206.49170,-2377.97007,2
21,33,1.22891,206.66052,-2395.38245,4
21,57,1.22891,210.71223,-2312.77409,3
21,58,1.22891,210.88105,-2280.92391,1
21,60,1.22891,211.21870,-2171.33241,6
21,61,1.22891,211.38752,-2130.83835,7
21,62,1.22891,211.55634,-2131.89932,3
21,80,1.22891,214.59512,-1379.67118,1
21,81,1.22891,214.76395,-1435.08884,8
21,82,1.22891,214.93277,-1412.63248,6
21,85,1.22891,215.43923,-1356.31176,2
21,104,1.22891,218.64684,-739.01009,1
21,105,1.22891,218.81566,-755.38352,5
21,106,1.22891,218.98448,-722.34087,2
21,110,1.22891,219.65977,-592.90971,1
22,9,1.39773,202.60880,-1767.60829,3
22,32,1.39773,206.49170,-2412.12579,1
22,33,1.39773,206.66052,-2418.40121,4
22,57,1.39773,210.71223,-2315.34041,1
22,58,1.39773,210.88105,-2296.16917,7
22,59,1.39773,211.04987,-2209.50979,3
22,60,1.39773,211.21870,-2203.97561,7
22,81,1.39773,214.76395,-1473.83619,3
22,82,1.39773,214.93277,-1454.79356,1
22,105,1.39773,218.81566,-768.80526,8
22,106,1.39773,218.98448,-732.11646,2
23,58,1.56655,210.88105,-2286.88430,8
23,59,1.56655,211.04987,-2240.54711,8
23,60,1.56655,211.21870,-2225.02563,1
23,81,1.56655,214.76395,-1497.09804,1
23,105,1.56655,218.81566,-786.52675,2
24,58,1.73537,210.88105,-2299.60120,1
24,59,1.73537,211.04987,-2250.35121,5
